#,x1,x2,y1,y2,P0,P1,P2,P3,P4
1,20,1368,607.786,584.630,16056.409,18631.151,32789500703.625,170362136.931,0.940
2,20,1368,607.786,584.630,15911.952,19429.280,32789500691.781,169058213.821,0.943
3,20,1368,610.172,585.988,15540.979,17937.894,32789500768.214,169886893.249,0.946
4,20,1368,506.316,531.879,15519.376,18095.040,32789500848.953,180398223.011,0.949
5,20,1368,557.751,582.596,15888.032,17210.914,32789500792.769,171848087.710,0.943
6,20,1368,557.148,534.032,15835.725,16295.320,32789500845.031,164878472.448,0.942
7,20,1368,556.607,536.147,15104.179,18551.822,32789500950.726,160214762.220,0.955
8,20,1368,556.701,577.728,15879.459,19021.007,32789500679.756,176213573.898,0.936
9,20,1368,608.395,583.511,15853.788,16776.992,32789500766.550,165202821.984,0.940
10,20,1368,608.425,586.411,15874.776,18437.710,32789500691.447,169629882.721,0.937
11,20,1368,608.694,584.134,15542.488,17680.269,32789500839.355,169955991.019,0.949
12,20,1368,557.732,583.599,15234.525,17985.214,32789500921.572,173340631.800,0.950
13,20,1368,556.251,578.818,15396.161,18638.159,32789500786.281,205398744.071,0.941
14,20,1368,608.818,635.081,15517.091,17116.874,32789500841.179,185587766.608,0.941
15,20,1368,660.328,685.976,15611.429,18412.612,32789500774.183,207235175.045,0.938
16,20,1368,556.922,584.195,15580.592,17612.514,32789500777.135,202355462.894,0.935
17,20,1368,661.215,687.682,15835.232,19330.264,32789500663.744,179788874.654,0.933
18,20,1368,608.818,583.734,15399.970,18660.566,32789500793.073,192133682.161,0.946
19,20,1368,609.739,636.043,15609.234,23167.232,32789500618.974,210363934.265,0.933
20,20,1368,610.313,581.953,13235.809,21385.140,24048328265.430,12438335585.524,-2.665E-15
21,20,1368,660.553,4832.698,15533.188,17864.857,32789500832.046,182841818.106,0.946
22,20,1368,556.812,582.645,15466.705,17739.276,32789500861.725,182514835.436,0.946
23,20,1368,556.867,581.809,15416.809,18553.652,32789500765.988,201675313.252,0.940
24,20,1368,610.353,636.837,15782.980,19502.777,32789500682.509,178681494.878,0.939
25,20,1368,609.197,583.938,15384.504,19414.766,26867694391.680,5597841897.228,-3.686E-14
26,20,1368,558.519,513.493,15576.231,17758.839,32789500790.876,214806182.040,0.933
27,20,1368,660.819,687.575,15309.871,17753.998,32789500853.056,170716962.103,0.950
28,20,1368,609.436,632.480,15503.544,18385.065,32789500747.218,182341850.892,0.942
29,20,1368,505.561,532.007,15482.078,17840.110,32789500844.907,184996669.268,0.946
30,20,1368,558.628,583.185,15258.779,17610.451,32789500943.740,168987477.931,0.949
31,20,1368,609.700,592.105,15450.252,22062.215,32789500661.813,198947446.570,0.942
32,20,1368,660.983,634.975,15802.839,17570.560,32789500747.849,158179172.738,0.945
33,20,1368,609.086,585.461,15555.768,18660.014,32789500772.895,200987988.298,0.941
34,20,1368,557.821,584.871,15933.403,16933.973,32789500757.916,159326734.980,0.942
35,20,1368,557.749,535.813,15605.812,18506.318,30368679077.220,4719808004.175,-3.553E-15
36,20,1368,505.689,467.005,15492.681,17702.089,32789500840.646,179870742.547,0.946
37,20,1368,558.025,582.327,15579.021,19262.133,32789500737.692,193476613.626,0.943
38,20,1368,557.284,584.116,15919.680,17981.002,32789500712.939,169138939.199,0.938
39,20,1368,557.933,534.075,15320.016,18562.842,32789500822.885,188694417.241,0.948
40,20,1368,610.042,635.130,15389.279,17946.028,32789500876.546,184780645.319,0.947
41,20,1368,660.715,685.786,15491.741,18530.610,32789500810.293,187710258.571,0.947
42,20,1368,557.676,583.480,15525.563,18996.761,29177079711.606,16387125745.957,2.220E-15
43,20,1368,608.915,713.376,15475.131,17836.744,32789500840.480,171533261.373,0.949
44,20,1368,558.071,581.741,15138.265,18707.954,32789500928.357,165089011.388,0.956
45,20,1368,557.319,579.979,15499.956,24598.189,32789500621.337,230049836.177,0.935
46,20,1368,557.270,528.165,15465.543,18743.064,32789500739.227,179464492.444,0.944
47,20,1368,506.407,532.951,13412.538,20638.943,25958462339.091,16346513611.077,-1.110E-15
48,20,1368,507.916,2718.699,15363.877,18158.889,32789500876.488,167861558.021,0.953
49,20,1368,559.261,582.627,15479.231,25498.032,32789500614.847,241566832.381,0.935
50,20,1368,558.403,529.168,15878.483,17824.483,32789500762.920,168460085.797,0.945
