#,x1,x2,y1,y2,P0,P1,P2,P3,P4
1,20,1368,560.710,560.822,27604.297,7784.789,567.669,186229821.563,0.982
2,20,1368,560.754,560.793,27555.907,7810.839,566.337,197832057.472,0.981
3,20,1368,560.723,560.787,27515.797,7817.703,565.311,191514295.375,0.982
4,20,1368,560.750,560.835,27569.814,7777.449,567.434,191523401.136,0.982
5,20,1368,560.736,560.848,27559.168,7771.235,567.451,190513243.313,0.982
6,20,1368,560.700,560.819,27543.231,7758.240,567.531,181814848.577,0.983
7,20,1368,560.730,560.831,27528.827,7749.890,566.822,196065348.127,0.981
8,20,1368,560.716,560.845,27514.485,7767.787,567.622,189188954.648,0.982
9,20,1368,560.707,560.820,27505.330,7774.846,567.362,197806700.022,0.981
10,20,1368,560.713,560.825,27490.030,7791.765,567.931,195560698.944,0.982
11,20,1368,560.717,560.806,27477.767,7769.981,567.465,190105771.058,0.982
12,20,1368,560.680,560.770,27500.647,7729.222,568.323,196079628.055,0.981
13,20,1368,560.708,560.815,27484.381,7750.376,566.884,191640581.220,0.982
14,20,1368,560.684,560.769,27479.222,7734.229,566.740,189464735.610,0.982
15,20,1368,560.725,560.839,27512.601,7699.041,568.993,182716882.999,0.983
16,20,1368,560.758,560.768,27435.992,7789.502,566.961,192368632.150,0.982
17,20,1368,560.748,560.817,27483.355,7709.928,567.863,193023986.916,0.982
18,20,1368,560.754,560.817,27467.993,7670.844,567.765,185130025.880,0.982
19,20,1368,560.709,560.803,27415.530,7765.173,567.605,187184357.409,0.982
20,20,1368,560.707,560.809,27471.948,7655.693,567.176,203225464.007,0.980
21,20,1368,560.648,560.778,27465.167,7673.795,567.433,187689903.592,0.982
22,20,1368,560.744,560.881,27466.347,7674.278,568.371,192865239.175,0.981
23,20,1368,560.697,560.822,27450.325,7690.215,569.564,190357290.412,0.982
24,20,1368,560.666,560.808,27466.237,7631.492,567.708,194688937.781,0.981
25,20,1368,560.655,560.813,27437.240,7698.792,569.102,190378273.676,0.982
26,20,1368,560.705,560.799,27430.218,7669.777,569.172,194066711.212,0.981
27,20,1368,560.710,560.822,27468.939,7596.357,567.897,185552236.218,0.982
28,20,1368,560.713,560.818,27454.329,7593.356,567.960,184333468.620,0.982
29,20,1368,560.708,560.795,27423.024,7646.910,568.482,194901292.720,0.981
30,20,1368,560.698,560.811,27437.526,7619.804,568.946,192366057.907,0.981
31,20,1368,560.719,560.814,27414.436,7643.654,568.560,193036697.933,0.981
32,20,1368,560.747,560.829,27413.490,7634.796,568.535,193957956.049,0.981
33,20,1368,560.726,560.812,27414.064,7606.384,568.396,202186573.643,0.980
34,20,1368,560.716,560.791,27412.508,7595.678,568.303,183819381.010,0.982
35,20,1368,560.688,560.813,27365.250,7653.299,567.344,180849381.316,0.982
36,20,1368,560.705,560.816,27423.685,7565.823,568.620,189158821.102,0.981
37,20,1368,560.705,560.824,27399.565,7582.106,567.734,188772410.644,0.981
38,20,1368,560.788,560.775,27421.566,7559.614,568.882,199323247.501,0.980
39,20,1368,560.726,560.794,27416.421,7530.927,568.643,203381766.487,0.980
40,20,1368,560.661,560.829,27412.485,7560.419,569.091,187015706.851,0.981
41,20,1368,560.677,560.832,27404.851,7519.847,568.974,194654765.686,0.981
42,20,1368,560.704,560.822,27366.409,7564.997,568.704,194272563.059,0.981
43,20,1368,560.742,560.851,27399.481,7546.202,569.887,178079990.697,0.982
44,20,1368,560.734,560.813,27370.817,7555.386,567.884,199365353.854,0.980
45,20,1368,560.714,560.801,27333.521,7577.083,567.883,189112756.795,0.981
46,20,1368,560.692,560.831,27390.756,7511.059,568.963,192741399.379,0.981
47,20,1368,560.705,560.796,27358.773,7562.866,569.167,187043392.544,0.981
48,20,1368,560.662,560.766,27375.962,7522.764,568.966,189995215.005,0.981
49,20,1368,560.755,560.837,27354.503,7523.428,568.669,194849626.802,0.980
50,20,1368,560.702,560.771,27390.684,7482.884,569.612,190716835.982,0.981
51,20,1368,560.716,560.843,25803.358,7110.929,565.111,188202094.642,0.979
52,20,1368,559.729,559.817,25846.140,7087.768,566.396,190216059.784,0.978
53,20,1368,559.723,559.779,25839.453,7070.615,567.504,201269757.136,0.977
54,20,1368,559.708,559.799,25875.725,7037.470,567.228,182151503.072,0.979
55,20,1368,559.695,559.792,25846.817,7063.922,567.793,188864631.261,0.979
56,20,1368,559.738,559.777,25841.896,7074.915,567.695,178781576.715,0.980
57,20,1368,559.719,559.778,25805.340,7142.771,565.758,170888486.070,0.981
58,20,1368,559.685,559.776,25872.370,7048.640,566.269,203641977.447,0.977
59,20,1368,559.690,559.725,25860.936,7067.245,567.905,182716100.978,0.979
60,20,1368,559.698,559.794,25855.261,7070.195,566.866,190723376.398,0.978
61,20,1368,559.695,559.794,25858.578,7034.794,567.302,184842522.818,0.979
62,20,1368,559.736,559.761,25841.740,7099.080,566.756,187231809.868,0.979
63,20,1368,559.755,559.797,25861.064,7071.277,566.982,176617032.701,0.980
